,Open,High,Low,Close,Volume,Number of trades
18373,6409.1,6419.91,6398.6,6403.02,892.161471,4035
18374,6400.3,6432.91,6388.0,6428.0,950.052021,4509
18375,6427.11,6520.0,6427.0,6498.89,2555.498593,11798
18376,6500.4,6533.0,6470.01,6482.03,1500.317752,7603
18377,6480.61,6489.12,6453.02,6478.04,977.015705,5050
18378,6478.05,6478.63,6421.07,6425.08,1059.198086,5789
18379,6425.08,6438.0,6401.0,6422.51,1065.529577,4502
18380,6423.26,6447.0,6395.0,6437.55,1512.804749,5347
18381,6437.55,6458.15,6421.88,6428.46,769.949554,4038
18382,6428.46,6450.0,6424.83,6429.03,434.311683,3547
18383,6429.99,6434.11,6362.5,6383.0,789.234989,4619
18384,6389.05,6450.0,6359.0,6431.03,1142.495291,5754
18385,6431.03,6449.99,6411.68,6424.59,495.443996,3518
18386,6422.97,6442.83,6414.05,6433.02,480.505296,2976
18387,6432.86,6483.0,6431.02,6474.88,730.599325,4871
18388,6470.68,6473.64,6438.95,6449.18,509.336493,3083
18389,6449.17,6466.3,6436.82,6453.0,915.033707,3156
18390,6453.01,6474.11,6430.23,6449.75,573.254391,2720
18391,6449.04,6450.03,6428.03,6444.46,454.040312,2853
18392,6442.15,6453.25,6438.55,6443.0,861.210808,2729
18393,6443.33,6476.17,6440.02,6474.68,381.668232,2715
18394,6472.61,6519.18,6470.33,6491.68,1007.576805,5171
18395,6491.71,6544.0,6490.02,6516.01,1162.053962,5929
18396,6516.84,6516.84,6465.0,6493.65,965.39411,4741
18397,6494.78,6505.0,6485.0,6494.08,536.495426,3521
18398,6494.06,6509.48,6491.28,6501.01,833.771422,3769
18399,6501.01,6530.54,6501.01,6529.95,702.325625,4576
18400,6522.6,6544.0,6507.07,6512.96,1491.692858,5590
18401,6512.96,6522.0,6482.83,6499.98,974.359388,4307
18402,6495.57,6510.0,6490.01,6498.02,597.907288,3256
18403,6499.01,6509.96,6490.23,6492.27,700.127123,2874
18404,6494.0,6495.73,6470.6,6486.29,1156.710398,3718
18405,6486.29,6496.78,6470.0,6485.98,520.202345,2998
18406,6486.48,6511.63,6485.98,6505.01,638.479619,3230
18407,6505.0,6515.12,6501.12,6511.4,537.619695,3325
18408,6512.07,6536.0,6491.75,6497.72,840.476869,4655
18409,6497.72,6502.05,6453.41,6465.92,917.462251,5048
18410,6464.64,6486.68,6464.02,6472.97,633.999773,3809
18411,6472.97,6490.24,6470.54,6486.45,504.351764,3300
18412,6487.2,6489.23,6425.97,6446.0,935.689939,6202
18413,6444.69,6464.23,6435.86,6446.92,646.064051,3836
18414,6446.95,6460.0,6430.0,6434.42,857.170169,3546
18415,6434.42,6462.0,6433.14,6454.6,576.243985,3342
18416,6454.59,6458.37,6320.0,6348.08,2370.972915,11908
18417,6349.41,6385.0,6327.86,6363.05,1045.392909,6173
18418,6363.06,6389.42,6340.0,6382.25,675.254038,4492
18419,6382.25,6382.84,6360.44,6367.0,579.725317,3717
18420,6367.0,6435.0,6365.05,6420.02,1044.732468,4910
18421,6421.12,6448.0,6415.21,6428.2,1467.08506,3999
18422,6429.0,6449.0,6424.39,6433.02,806.716718,3961
18423,6434.76,6444.0,6418.11,6439.61,737.060346,3050
18424,6438.55,6480.0,6417.78,6460.83,946.645962,4678
18425,6463.41,6470.96,6390.0,6415.82,1034.857938,4773
18426,6415.84,6438.86,6407.88,6435.01,953.073647,3570
18427,6435.02,6443.02,6350.0,6375.69,1009.977311,5323
18428,6373.69,6477.0,6360.0,6452.42,1409.725023,7688
18429,6450.02,6468.37,6435.21,6438.79,777.321271,3705
18430,6440.55,6450.0,6386.0,6398.07,866.379871,4360
18431,6394.55,6428.81,6388.54,6422.37,502.97225,3615
18432,6422.36,6425.0,6400.21,6406.0,868.556927,3032
18433,6407.01,6436.85,6400.01,6417.11,741.451798,2851
18434,6416.55,6425.92,6400.0,6417.84,675.415556,2677
18435,6415.47,6435.12,6415.46,6418.99,779.830875,2918
18436,6419.0,6438.56,6411.43,6425.01,502.701153,2604
18437,6425.03,6460.0,6420.75,6457.15,819.871831,3231
18438,6454.14,6457.13,6435.0,6440.05,437.456322,2361
18439,6441.99,6447.61,6410.0,6427.18,400.225182,3717
18440,6427.19,6428.59,6400.0,6415.54,430.046701,2971
18441,6416.65,6425.95,6391.0,6398.01,359.687616,2941
18442,6398.01,6415.98,6380.01,6415.98,405.037409,2952
18443,6415.02,6420.01,6385.0,6395.54,691.569538,2631
18444,6395.54,6429.98,6390.73,6429.49,591.579419,2716
18445,6429.49,6448.21,6422.46,6432.6,605.203412,2827
18446,6432.59,6445.48,6425.15,6430.03,406.790085,2292
18447,6431.16,6431.17,6415.51,6421.2,270.070597,2102
18448,6422.0,6450.0,6422.0,6443.78,527.62953,2479
18449,6443.78,6459.0,6439.0,6444.18,550.897325,3052
18450,6443.44,6452.0,6420.0,6425.53,719.259329,2343
18451,6421.07,6434.85,6414.0,6428.75,487.725981,2111
18452,6428.75,6433.81,6412.0,6425.64,400.573132,2271
18453,6425.62,6433.88,6420.02,6432.11,267.897374,2100
18454,6432.11,6437.86,6420.0,6428.85,374.899637,2120
18455,6430.0,6453.56,6428.85,6442.61,478.767019,2890
18456,6443.49,6464.16,6441.11,6457.0,953.029955,3305
18457,6456.3,6468.0,6437.75,6444.01,372.771997,2835
18458,6444.99,6455.0,6443.0,6449.01,663.109464,2282
18459,6449.31,6450.5,6440.06,6449.02,429.733859,2378
18460,6449.97,6468.54,6449.01,6461.96,893.741537,2815
18461,6461.97,6478.0,6456.67,6464.56,598.887229,3253
18462,6465.75,6466.0,6440.05,6452.97,503.000096,3069
18463,6450.1,6470.0,6450.05,6467.26,304.902291,2594
18464,6467.26,6471.0,6450.0,6460.11,438.485886,2764
18465,6460.12,6462.96,6452.97,6459.11,591.509933,2417
18466,6459.13,6464.93,6418.03,6437.04,1000.297699,4109
18467,6437.04,6445.1,6423.09,6429.01,707.287288,3176
18468,6429.01,6431.43,6355.55,6391.48,1597.58699,6628
18469,6387.18,6416.91,6387.18,6407.31,581.249857,2710
18470,6407.31,6411.0,6385.2,6405.0,598.812957,3013
18471,6403.8,6422.94,6402.0,6414.42,435.396205,2543
18472,6415.61,6417.18,6390.0,6403.53,577.055043,2629
18473,6403.53,6409.12,6381.62,6404.03,795.576625,2958
18474,6404.41,6429.99,6385.99,6420.0,569.432633,3247
18475,6419.27,6432.96,6410.0,6429.4,630.492199,2458
18476,6429.4,6434.11,6410.88,6418.79,600.695034,2859
18477,6416.21,6421.0,6357.0,6368.07,975.807186,4172
18478,6365.17,6405.73,6362.23,6389.16,1069.784229,4989
18479,6388.84,6388.84,6165.58,6212.33,4157.164257,19059
18480,6212.33,6215.0,6132.0,6136.01,2707.082696,13275
18481,6136.01,6206.0,6125.0,6186.29,1223.359021,7182
18482,6186.28,6208.0,6175.0,6178.5,779.144747,4778
18483,6178.49,6190.0,6150.0,6176.04,892.959286,4246
18484,6176.05,6185.0,6135.0,6153.01,1302.278538,4422
18485,6152.99,6175.0,6111.0,6168.0,1245.820057,6701
18486,6169.3,6176.01,6153.25,6163.0,711.066688,3252
18487,6164.59,6180.91,6159.96,6180.0,756.709581,3603
18488,6180.0,6195.49,6164.79,6190.36,862.026853,3708
18489,6190.38,6206.88,6158.8,6180.03,890.929533,3299
18490,6180.91,6189.01,6167.38,6185.0,719.756063,2386
18491,6185.0,6194.98,6174.0,6185.05,396.795819,2414
18492,6185.06,6190.71,6164.0,6178.04,597.66738,2620
18493,6178.03,6187.94,6167.79,6175.4,522.528156,2010
18494,6173.07,6194.0,6173.0,6190.0,552.969926,2457
18495,6190.0,6206.0,6181.0,6206.0,532.081318,2851
18496,6205.66,6205.66,6175.31,6182.37,786.844492,2602
18497,6182.37,6182.95,6145.0,6160.99,768.876164,4155
18498,6157.06,6180.0,6141.53,6168.17,612.550766,3903
18499,6171.99,6176.97,6161.0,6171.92,587.396512,2858
18500,6171.92,6190.69,6168.0,6182.6,503.752149,2775
18501,6182.08,6182.78,6164.23,6171.5,668.743536,2392
18502,6173.07,6186.71,6170.29,6184.2,460.031161,2277
18503,6185.45,6190.0,6171.76,6180.18,490.46585,2446
18504,6180.18,6195.27,6180.18,6188.97,600.856339,2488
18505,6191.32,6199.05,6182.56,6185.99,398.868418,2479
18506,6185.98,6193.11,6176.88,6187.98,904.294995,2802
18507,6187.99,6189.38,6181.12,6187.83,1001.373788,2480
18508,6186.86,6195.98,6185.77,6191.04,922.401542,3370
18509,6192.49,6196.96,6181.55,6195.9,670.436215,2954
18510,6195.93,6263.0,6188.0,6243.93,915.436563,4688
18511,6243.93,6441.0,6243.92,6382.71,3549.323748,14261
18512,6382.72,6397.79,6342.0,6377.0,887.581688,5059
18513,6377.0,6383.82,6347.48,6359.97,801.266994,3955
18514,6356.71,6387.56,6354.76,6374.74,468.236035,3690
18515,6374.75,6380.0,6365.0,6377.77,809.708953,2833
18516,6377.77,6389.0,6370.22,6389.0,462.421248,2972
18517,6389.0,6396.0,6382.56,6392.6,1081.722696,4859
18518,6391.7,6398.0,6385.17,6393.5,1119.196897,3885
18519,6393.5,6436.0,6386.0,6398.82,1137.203201,4943
18520,6396.31,6423.81,6382.03,6393.1,750.702385,4068
18521,6393.21,6395.0,6375.43,6380.69,753.607986,3996
18522,6382.07,6390.0,6352.74,6373.8,702.744976,4293
18523,6373.81,6388.18,6365.0,6369.05,576.759659,2899
18524,6369.05,6387.12,6368.02,6379.46,584.834796,3023
18525,6379.46,6382.63,6360.33,6382.6,1131.069449,4088
18526,6382.63,6384.55,6366.42,6370.53,341.932978,2915
18527,6373.64,6388.18,6367.5,6377.25,479.024173,2988
18528,6375.57,6396.28,6375.57,6395.94,504.576447,2822
18529,6391.48,6395.38,6373.49,6377.52,859.894925,3072
18530,6375.47,6394.99,6373.03,6380.0,523.148191,3018
18531,6380.0,6390.0,6379.52,6384.19,504.007009,2338
18532,6384.19,6400.0,6378.66,6383.33,582.273259,3703
18533,6383.33,6395.99,6378.84,6392.39,511.572804,3119
18534,6395.89,6399.0,6385.0,6389.4,455.534651,2626
18535,6389.4,6400.0,6368.0,6374.2,725.950019,3611
18536,6374.19,6376.96,6211.0,6230.0,2564.550122,12565
18537,6230.0,6280.0,6220.0,6252.91,630.516612,4358
18538,6252.91,6268.0,6235.08,6265.0,483.615794,2872
18539,6265.9,6291.0,6240.0,6250.81,573.370855,3271
18540,6252.26,6277.65,6246.39,6269.22,1113.665993,2543
18541,6268.05,6279.78,6250.0,6262.63,990.436711,2600
18542,6263.52,6304.45,6262.69,6295.0,483.3964,2700
18543,6292.99,6373.98,6280.0,6334.97,844.517229,4480
18544,6334.97,6354.82,6313.78,6317.67,444.058833,2595
18545,6317.68,6327.27,6312.0,6321.23,339.295603,2444
18546,6322.11,6323.36,6288.48,6308.57,595.145202,3049
18547,6308.57,6318.06,6300.11,6312.97,822.949056,2269
18548,6314.01,6314.02,6294.0,6298.0,546.097306,2641
18549,6298.0,6310.5,6259.0,6281.65,781.956703,4692
18550,6281.65,6305.69,6280.0,6294.52,302.532241,2805
18551,6294.54,6309.31,6291.07,6304.02,591.542781,2600
18552,6304.02,6304.03,6290.0,6297.81,544.127614,2519
